nome,preco,quantidade,tipo,data_scraping
Adesivo | Lucky (Purpurinado) | Xangai 2024,0.1,90,Autographs,2024-12-17
Adesivo | aNdu (Dourado) | Xangai 2024,8.55,3,Autographs,2024-12-17
Adesivo | JBa | Xangai 2024,0.53,22,Autographs,2024-12-17
Adesivo | chopper (Purpurinado) | Xangai 2024,0.12,92,Autographs,2024-12-17
Adesivo | degster (Purpurinado) | Xangai 2024,0.05,77,Autographs,2024-12-16
Adesivo | malbsMd | Xangai 2024,0.05,234,Autographs,2024-12-17
Adesivo | Snax (Holográfico) | Xangai 2024,6.11,10,Autographs,2024-12-13
Adesivo | syrsoN | Xangai 2024,0.04,35,Autographs,2024-12-17
Adesivo | torzsi (Purpurinado) | Xangai 2024,0.06,37,Autographs,2024-12-14
Adesivo | ZywOo (Holográfico) | Xangai 2024,6.57,39,Autographs,2024-12-14
Adesivo | fEAR (Purpurinado) | Xangai 2024,0.31,20,Autographs,2024-12-17
Adesivo | somebody (Holográfico) | Xangai 2024,13.4,4,Autographs,2024-12-17
Adesivo | mezii (Holográfico) | Xangai 2024,0.54,52,Autographs,2024-12-17
Adesivo | ChildKing | Xangai 2024,0.27,34,Autographs,2024-12-17
Adesivo | Grim (Holográfico) | Xangai 2024,1.0,21,Autographs,2024-12-17
Adesivo | zeRRoFIX | Xangai 2024,0.03,60,Autographs,2024-12-16
Adesivo | exit (Dourado) | Xangai 2024,9.46,6,Autographs,2024-12-17
Adesivo | kauez (Holográfico) | Xangai 2024,1.05,13,Autographs,2024-12-16
Adesivo | INS (Purpurinado) | Xangai 2024,0.15,32,Autographs,2024-12-17
Adesivo | Djoko (Dourado) | Xangai 2024,4.61,11,Autographs,2024-12-17
Adesivo | FL4MUS | Xangai 2024,0.06,54,Autographs,2024-12-17
Adesivo | n0rb3r7 (Holográfico) | Xangai 2024,0.74,20,Autographs,2024-12-16
Adesivo | jackasmo (Purpurinado) | Xangai 2024,0.08,35,Autographs,2024-12-16
Adesivo | apEX (Dourado) | Xangai 2024,4.53,14,Autographs,2024-12-16
Adesivo | Grim (Purpurinado) | Xangai 2024,0.13,23,Autographs,2024-12-17
Adesivo | Kaze (Purpurinado) | Xangai 2024,1.27,37,Autographs,2024-12-16
Adesivo | frozen (Purpurinado) | Xangai 2024,0.11,86,Autographs,2024-12-16
Adesivo | Jimpphat (Purpurinado) | Xangai 2024,0.05,54,Autographs,2024-12-17
Adesivo | sl3nd (Purpurinado) | Xangai 2024,0.1,30,Autographs,2024-12-17
Adesivo | Jimpphat (Holográfico) | Xangai 2024,0.89,56,Autographs,2024-12-17
Adesivo | blameF | Xangai 2024,0.04,47,Autographs,2024-12-17
Adesivo | zont1x | Xangai 2024,0.03,146,Autographs,2024-12-16
Adesivo | chopper (Dourado) | Xangai 2024,7.87,14,Autographs,2024-12-17
Adesivo | mezii (Purpurinado) | Xangai 2024,0.1,38,Autographs,2024-12-12
Adesivo | huNter- | Xangai 2024,0.04,173,Autographs,2024-12-17
Adesivo | afro | Xangai 2024,0.05,40,Autographs,2024-12-16
Adesivo | L1haNg (Holográfico) | Xangai 2024,4.02,7,Autographs,2024-12-17
Adesivo | vexite (Purpurinado) | Xangai 2024,0.27,35,Autographs,2024-12-13
Adesivo | Maka (Holográfico) | Xangai 2024,4.42,10,Autographs,2024-12-17
Adesivo | exit | Xangai 2024,0.05,32,Autographs,2024-12-16
Adesivo | Krimbo | Xangai 2024,0.04,31,Autographs,2024-12-17
Adesivo | ChildKing (Dourado) | Xangai 2024,57.7,5,Autographs,2024-12-17
Adesivo | kyxsan | Xangai 2024,0.03,719,Autographs,2024-12-16
Adesivo | rain (Purpurinado) | Xangai 2024,0.26,62,Autographs,2024-12-17
Adesivo | ChildKing (Holográfico) | Xangai 2024,7.67,17,Autographs,2024-12-17
Adesivo | saffee (Dourado) | Xangai 2024,6.04,5,Autographs,2024-12-16
Adesivo | malbsMd (Purpurinado) | Xangai 2024,0.3,79,Autographs,2024-12-17
Adesivo | vexite | Xangai 2024,0.04,78,Autographs,2024-12-16
Adesivo | degster | Xangai 2024,0.03,203,Autographs,2024-12-16
Adesivo | Aleksib (Dourado) | Xangai 2024,9.44,15,Autographs,2024-12-17
Adesivo | JBa (Purpurinado) | Xangai 2024,1.49,22,Autographs,2024-12-17
Adesivo | brnz4n (Glitter) | Shanghai 2024,0.06,58,Autographs,2024-12-17
Adesivo | Spinx (Holográfico) | Xangai 2024,0.42,52,Autographs,2024-12-16
Adesivo | donk (Holográfico) | Xangai 2024,83.68,10,Autographs,2024-12-14
